QT000000000	D Frau isch jung.
QT000012474	Dor weren man söss Lüüd op de Party.
QT000012475	He güng stiekum in ’n Goorn.
QT000012476	Sien Vadder wöör Timmermann.
QT000012477	Barrichello föhrt temlich hart.
QT000012478	Ik bün faken mit em angeln gahn.
QT000012479	Woveel Ozeanen gifft dat up usen Planet?
QT000012480	Ik heff dien Hülp nödig.
QT000012481	Se is mit de Eier utneiht.
QT000012482	Dat regent.
QT000012483	Ik bün achter em her.
QT000012484	Ik mag disse Soort Romaans nich.
QT000012485	Oh, segg mi dien Naam!
QT000012486	Se hett em ünnerkregen.
QT000012487	Allens, wat to dumm to ’n Seggen is, warrt sungen.
QT000012488	Dat is mi eendoont, wenn ’t sneet.
QT000012489	Wi hebbt en ole Klock mit Parpendiekel.
QT000012490	Ik will een Nacht blieven.
QT000012491	Ik warr ehr nich mehr sehn.
QT000012492	Parks sünd för de Stad dat, wat Lungen för Deerten sünd.
QT000012493	Ik heff em en Boom ümsagen sehn.
QT000012494	Mark hett mien Book.
QT000012495	Segg mi den Grund, worüm as du op ’n Lannen leven wullt.
QT000012496	Wenn wi so wieder maakt, föhrt wi gegen de Wand.
QT000012497	He schrifft ehr en Breef.
QT000012498	Bill smöökt nich mehr.
QT000012499	Wi wüllt dien Blooddruck meten.
QT000012500	Ik kann di dor nich bi tostimmen.
QT000012501	Dor sünd mehr Deerns as Jungs in ’e School.
QT000012502	Allens, wat ik funnen heff, is en Scheer.
QT000012503	Ji hebbt dat Recht to swiegen.
QT000012504	Se geev em wat to drinken.
QT000012505	Ik söök al lang na en ne’e Steed.
QT000012506	Ik heff sien Book dörchläsen.
QT000012507	Dat Kind kriggt nu Tähn.
QT000012508	Höört ji de Narichten?
QT000012509	Gau sammel sik en Hümpel Lüüd üm ’t Füüwehrauto.
QT000012510	Wi hebbt dat schafft, dör ’n Stroom to swemmen.
QT000012511	Dat Huus brennt.
QT000012512	Se hebbt den Mann as Gefohr för de Sellschop ansehn.
QT000012513	Welk Froonslüüd hebbt jemehr Mann so geern, dat se, üm jem nich aftobruken, de von jemehr Fründinnen nehmt.
QT000012514	Dat kann angahn, dat dat sneet.
QT000012515	En Vagel hett Flünk.
QT000012516	Woneem hest du dat köfft?
QT000012517	Se hebbt sik dat Foto von mi as lütt Jung ankeken un lacht.
QT000012518	Ik heff all sien Romaans leest.
QT000012519	De Priesen hängt von Anbott un Nafraag af.
QT000012520	Sniddst du en Eerdkrüper den Steert af, wasst he na.
QT000012521	Ik kenn John al von 1976 af an.
QT000012522	Wenn ik groot bün, will ik en König wesen.
QT000012523	Villicht segg ik Tom bäter nich, wat Ria doon hett.
QT000012524	Mien Broder smöökt temlich veel.
QT000012525	Se deed uns mit en Smüüstern begröten.
QT000012526	Wat maakst du vondaag?
QT000012527	Ik wüß nich, wo man dat anners översetten kunn.
QT000012528	Giff mi de Slötels!
QT000012529	Ik kann dat nich verstahn.
QT000012530	Ik heff veel Drööm.
QT000012531	Dat weer pickdüüster.
QT000012532	Wi verbinnt Darwin sien Naam mit de Evolutionstheorie.
QT000012533	Ik deed ook geern wat seggen.
QT000012534	De Vagels singt buten.
QT000012535	Hett he veel Freetied?
QT000012536	Dat is al to laat.
QT000012537	Wüllt ji jo nich dalsetten?
QT000012538	Wat gifft dat natoeten?
QT000012539	Wi hebbt noog to eten.
QT000012540	Du hest dat Book villicht al leest.
QT000012541	He hett ’n Verköper dat Geld geven.
QT000012542	Ik wüss nich, dat du so good kaken kannst.
QT000012543	He deed en poor Daag vör sien hunnerdsten Geboortsdag doodblieven.
QT000012544	Wat du mi maal en Poppeertuut recken kunnst?
QT000012545	Wenn ik as Kind wat verkehrt maakt heff, denn kreeg ik en Oorsvull.
QT000012546	Ik kann nich länger töven.
QT000012547	De Dag is meist vörbi.
QT000012548	Ik mutt en poor Breevmarken köpen gahn.
QT000012549	Ik wüss nich, woneem ik hengahn oder wat ik doon schull.
QT000012550	Kannst du mi noch een wiesen?
QT000012551	He keem güstern ut dat Butenland trügg.
QT000012552	Woneem is dien School?
QT000012553	Ik heff de Schieteree.
QT000012554	Veel Vagels sitt op den Ast.
QT000012555	Jesus wöör en Timmermann.
QT000012556	Mien Baas is dubbelt so oold as ik.
QT000012557	Ik weer krank.
QT000012558	Hest du dat Book betahlt?
QT000012559	Mit ’n Hannel geiht dat bargdal.
QT000012560	Se is Tom sien Süster.
QT000012561	Is de Bank apen?
QT000012562	Ik kunn em kuum hören.
QT000012563	Buten sien Öllern kennt em nüms besünners good.
QT000012564	Grace is noch nich kamen.
QT000012565	Wo hett Tom mit Ria över snackt?
QT000012566	Is hier jümmer so veel loos?
QT000012567	En lütte Goodskoh krabbelt dat Finster hoog.
QT000012568	Dat sünd de eenzigen beiden Studenten, de Chineesch lehrt.
QT000012569	Gau harrn wi all Woren verköfft.
QT000012570	Ik heff Bus 61 nahmen.
QT000012571	Hest du veel Frünn?
QT000012572	In Sovjetrussland kickt de Feernseher na de Tokiekers!
QT000012573	Wo kort dat Leven is!
QT000012574	He is noch jümmer argerlich.
QT000012575	Ik kann mi nich besinnen, wannehr ik tolest op en Boom kladdert bün.
QT000012576	Ik kann di en beten Geld lehnen, wenn du dat bruukst.
QT000012577	De Postbaad maakt den Breevkassen leddig.
QT000012578	Tom hett nich noog Geld, üm sik en Huus to köpen.
QT000012579	Mudder maakt en Koken.
QT000012580	Dat is mien Huus.
QT000012581	Ji hebbt den Koken al eten.
QT000012582	De Goorner hett ’n Knick jüst sneden.
QT000012583	Jim, sluut dat Finster.
QT000012584	Ehr Verhollen is nich normaal för en jung Deern.
QT000012585	Tom hett en Fru un twee Kinner.
QT000012586	Maak dien Ogen apen.
QT000012587	Mööt wi för dne Kurs en Book köpen?
QT000012588	Dor legen nich mehr as twee Böker op ’n Schrievdisch.
QT000012589	Kann ik vonnacht hierblieven?
QT000012590	Deed di dat gefallen to freen un Kinner to hebben?
QT000012591	Worüm büst du na Japan gahn?
QT000012592	Se deed em övertügen, ehr to freen.
QT000012593	De Shinano is länger as all anner Strööm in Japan.
QT000012594	Ik bün en groten Fan von Golf.
QT000012595	Ik lööv, ik heff verstahn.
QT000012596	He deed kene Musik hören.
QT000012597	He deed sik en Exküüs utdenken.
QT000012598	De Vörhang hett Füür fungen.
QT000012599	Se hett mi küsst, nich em.
QT000012600	Magst du lever Fleesch oder Fisch?
QT000012601	Ehr Vader is Japaner.
QT000012602	Ji künnt hier up se teuven.
QT000012603	Ik mutt keen Brill mehr dragen.
QT000012604	Gaht wi wieder.
QT000012605	Mi dücht dat gediegen, dat se noch nich dor is.
QT000012606	Ji arbeidt toveel.
QT000012607	Dor sünd mehr as 50.000 Böker in disse Bökeree.
QT000012608	He hett op mien Breev noch nich antert.
QT000012609	He snackt as en Engel.
QT000012610	De eerste Fleger flöög 1903 twölv Sekunnen.
QT000012611	De Maand is achter de Wulken nich to sehn.
QT000012612	Wat för een is dien Gitarr?
QT000012613	Kann een dit Woord utspreken?
QT000012614	Denk dor nich maal an!
QT000012615	Woneem wahnt he?
QT000012616	Anners as Vagels, de jemher Jungen föödt un schuult, verlaat Fisch jemehr Lütte.
QT000012617	Wat maakst du sünndaags?
QT000012618	Den Röök von Sireen mag ik besünners.
QT000012619	He kann sik al nich mehr op de Been hollen.
QT000012620	Du snackst good Franzöösch!
QT000012621	Dat harrst du ook sülvs marken kunnt, dat dat en Dummeree is!
QT000012622	He is in de Swiez boren.
QT000012623	Dat hett weniger as föffteihn Dollar köst.
QT000012624	Dat Schipp is dör ’n Suezkanaal föhrt.
QT000012625	Gah to Bedd.
QT000012626	He swemmt beter as ik.
QT000012627	Tom hett den ganzen Dag in sien Bedd tobröcht un leest.
QT000012628	Nu mag ik keen Beer.
QT000012629	De Straat is glitschig.
QT000012630	En Katt keem ünner dat Auto vör.
QT000012631	Ria kann nich kamen. Se mutt op de Lütte oppassen.
QT000012632	Sandra is en smucke Froo worrn.
QT000012633	Wees keen Oorslock.
QT000012634	Mien Ökelnaam is "Itschi".
QT000012635	De Jung snackt as wenn he en Mann is.
QT000012636	Ik toog mi an.
QT000012637	Dat is för en Fründ von mi.
QT000012638	Dat hett dit Johr en Barg Regen geven.
QT000012639	Ik heff en Fischerboot üm un bi een Miel von de Küst af sehn.
QT000012640	De Hund is dood.
QT000012641	Mien Unkel geev em en Geschenk.
QT000012642	Ik glööv, se kaamt.
QT000012643	Maak dat Door dicht.
QT000012644	Ik höör geern Musiek, vör allen Jazz.
QT000012645	Ik bün noch nie in ’t Butenland wesen.
QT000012646	Pass op, dat du di nich verköhlst.
QT000012647	Keih sünd för de Hindus hillige Deerten.
QT000012648	Weet Se, wat Tom gistern doon hett?
QT000012649	Nüms kann vör ’n Dood utkniepen.
QT000012650	De Mann hett dat Brood eten.
QT000012651	Gistern was Heini weer bannig duune.
QT000012652	Dor is en Appel op ’n Disch.
QT000012653	Dit Dörp hett sik in teihn Johr temlich verännert.
QT000012654	Schall ik di den Witz verkloren?
QT000012655	Süst du den Ingang von ’n Park?
QT000012656	Se vertroot em mit ehr Geld.
QT000012657	En leddig Fatt klingt veel luder.
QT000012658	Se hett em en beten Snökerkraam köfft.
QT000012659	Dat is beter för di, vör dat Slapengahn nix mehr to eten.
QT000012660	„Worüm hest du dat nich mookt?“ – „Wiel ik Fever harr.“
QT000012661	De Leevd is starker as de Dood.
QT000012662	Ik heff in ’n Düüstern en Swevelsticken anstaken.
QT000012663	Ik söök sien Telefoonnummer in ’t Telefoonbook.
QT000012664	Dit Eten reckt för dree Lüüd.
QT000012665	Se is na Ibaragi gahn.
QT000012666	Giff op!
QT000012667	En dunen Keerl is de Trepp dalfullen.
QT000012668	Op disse Welt is - buten den Dood un de Stüürn - nix seker.
QT000012669	Wenn se bloot noch leven deed...
QT000012670	Wo geihst du denn hn? Schöölt wi mitgahn?
QT000012671	He arbeidt temlich hart.
QT000012672	Ik heff USB-Kavels mit söss verscheden Steckers. Un sowat nöömt sik „universell“!
QT000012673	He hett sik anwennt, mit Butenlanners to snacken.
QT000012674	Worüm heet de Lüüd in Tofallssätz jümmer Tom?
QT000012675	Ik heff al siet söß Stünnen keen Schokolaad mehr eten.
QT000012676	Dat is en Popp.
QT000012677	Ik heff ut versehn dien Scherm nahmen.
QT000012678	En Elefant hett en lange Nees.
QT000012679	Laat uns dor later vöer snacken.
QT000012680	Geev mi den Slötel.
QT000012681	Du hest dit Book schreven?
QT000012682	Wo warrt disse Vagel nöömt?
QT000012683	He süng en poor ole Leder.
QT000012684	Noog is noog!
QT000012685	Woneem wahnt he?
QT000012686	Ik bün jüst ankamen.
QT000012687	Du musst di spoden.
QT000012688	Wenn de nich anwossen wœr, dä Tom noch sien egen Kopp vergäten.
QT000012689	Se hett mi op Spaansch ansnackt.
QT000012690	Mien Vader hett de Wannen witt streken.
QT000012691	Mien Papa is jüst nich tohuus.
QT000012692	Dat gifft veel Brüggen in disse Stad.
QT000012693	Ik heff versöcht, mit em to kören.
QT000012694	Se is bleek, wieldes ehr Broder temlich düüster utsütt.
QT000012695	He kummt ut Frankriek.
QT000012696	Dat is Jane ehr Tasch.
QT000012697	Disse Tog höllt von Nakano af an an elk Station.
QT000012698	De Döör weer afslaten un wi kunnen nich ringahn.
QT000012699	In ’n Anfang weer dat Woord.
QT000012700	Ik gah elk Maand na ’n Putzbüdel.
QT000012701	Se stammt ut Frankriek.
QT000012702	Dat spiet mi, dat ik de Changs misst heff ehr to drepen.
QT000012703	Ik kann mi nich mehr besinnen, wo ik jüst na söcht heff.
QT000012704	Sünd ji avends jümmer tohuus?
QT000012705	Dat is jüst dat Book, wat ik al lang maal lesen wull.
QT000012706	Dat is de Stad, von de ik di vertellt heff.
QT000012707	He kann Russ’sch snacken un ook schrieven.
QT000012708	Se dreeg en snaakschen Hoot.
QT000012709	De Kinner hebbt in ’n Dreck speelt.
QT000012710	He hett bloot Tüdelkraam in ’n Kopp.
QT000012711	Ik heff en Visum.
QT000012712	Se müss ehr Süster versorgen.
QT000012713	Fraag en Schandarm!
QT000012714	Hebbt ji al Avenbrood eten?
QT000012715	Is dat franzöösch?
QT000012716	De Kamerdeern is noch nich kamen.
QT000012717	Wat is dat Probleem?
QT000012718	Disse is beter.
QT000012719	Se hett Tweeschen kregen.
QT000012720	De Bläder an ’e Bööm warrt in ’n Harvst rood.
QT000012721	Ik heff dat Radels löst.
QT000012722	Dat is echt en heel leckere Supp, nech?
QT000012723	As de Köökschen inmarscheert kemen, hebbt se all düchtig in ’e Hannen klappt.
QT000012724	Ik heff nich wüßt, dat he so oolt is.
QT000012725	Ik heff mit mien Familie snackt.
QT000012726	Dat Hart is en Muskel.
QT000012727	Is de Unibibliotheek üm disse Tied apen?
QT000012728	He is dubbelt so oold as se.
QT000012729	Dat Speel is wegen Regen afseggt worrn.
QT000012730	Se hett nich veel Frünnen in Kyoto.
QT000012731	Ik müss mi Geld borgen, dat ik dat Auto köpen kunn.
QT000012732	Ik bün froh opstahn.
QT000012733	Dor sprickt nix gegen.
QT000012734	Se hett em en Kamera köfft.
QT000012735	Sundheid is mehr weert as Gold.
QT000012736	Mien Kamer is dubbelt so groot as sien.
QT000012737	Vondaag gifft dat Braden mit Kartuffeln.
QT000012738	Ik heff en amerikaansch Deern drapen.
QT000012739	Ik denk, dorvon bün ik.
QT000012740	Se speelt jeden Dag Tennis.
QT000012741	Ik bün nich gegen Tetanus empt.
QT000012742	Wi kunnen nüms op de Straat sehn.
QT000012743	Woveel köst de Tuur för een Persoon?
QT000012744	Dat Slott liggt op de anner Sied von ’n Stroom.
QT000012745	Ik heff em vörig Week betahlt.
QT000012746	As se de Snaak sehn deed, hett se schreet.
QT000012747	Ik freu mi dor al up, di hiut ovend singen to heuren.
QT000012748	He hett en Hümpel Geld op de Bank.
QT000012749	Ik weet nich, wat ik bestellen schall.
QT000012750	Ik bün nu dörtig.
QT000012751	Deit mi leed.
QT000012752	Miene Süster besöcht en Universität.
QT000012753	Dat weer en worraftig Wunner.
QT000012754	Kannst du mi den Weg wiesen?
QT000012755	Ik heff mi antogen.
QT000012756	He is dree Maal in Frankriek wesen.
QT000012757	Vondaag is Valentinsdag.
QT000012758	Ik harr lever en Kamer mit Blick op de See.
QT000012759	In ’n Noorden gifft dat grote Bargen.
QT000012760	Wi mööt dat Finster dichtmaken.
QT000012761	He harr Smacht.
QT000012762	Ik wull geern en Dapanji eten!
QT000012763	Wat för en Steernteken hest du?
QT000012764	Wat is lichter: een Kilo Gold oder een Kilo Sülver?
QT000012765	Geevt mi dat.
QT000012766	De Platz is free.
QT000012767	Du föhrst to gau.
QT000012768	Ik schall tokamen Week na Tokyo föhren.
QT000012769	Ik heff dat Bild al maal sehn.
QT000012770	In Tokyo hett dat en groot Eerdbeven geven.
QT000012771	Teken mi en Schaap.
QT000012772	Ik stieg hier ut.
QT000012773	Holl op mit Smöken.
QT000012774	Japan is nich mehr as vör teihn Johr.
QT000012775	In de Karnaval vun Köln röppt man "alaaf" un in Düsseldorf "helau".
QT000012776	Snackst du Italieensch?
QT000012777	Du schasst di dor gau an wennen.
QT000012778	Du schusst em ehrder wohrschaut hebben.
QT000012779	Du büst en gedüllige Froo.
QT000012780	Is Herr Johnson dor?
QT000012781	Büst du al in Frankriek wäsen?
QT000012782	Ik heff dull Koppwehdaag.
QT000012783	De Kunn hett jümmer recht.
QT000012784	Se füng an to singen.
QT000012785	Ik bün en Slott ahn en Slötel.
QT000012786	Ehr Muskeln sünd stiev.
QT000012787	Ik segg dat de ganze Tied.
QT000012788	Godd stüürt de Bööm, dat se nich in ’n Heven wasst.
QT000012789	He hett sik dat Geld von en Fründ lehnt.
QT000012790	Wat hest du to de Tied maakt?
QT000012791	Mama hett för mien Geboortsdag en Koken backt.
QT000012792	Worüm mutt ik dat maken?
QT000012793	Dat köst mi veel Tied.
QT000012794	Ik kann mi nich besinnen, woneem ik dat köfft heff.
QT000012795	Wat is dien leevst Wintersport?
QT000012796	Kaam her un kiek di dat an!
QT000012797	Wi sünd na ’n Strand gahn, üm to swemmen.
QT000012798	Tom hett dat Licht nich utmookt.
QT000012799	Godd hett dat verbaden!
QT000012800	Dree hoog dree maakt sövenuntwintig.
QT000012801	He möök jümmer wedder desülven Fehlers.
QT000012802	Joon Dochter is keen Deern mehr.
QT000012803	Nehm un hau af!
QT000012804	So hebbt se in de Johren sösstig snackt.
QT000012805	Se hüng de Wäsch op de Lien.
QT000012806	He hett den Scheck ünnerschreven.
QT000012807	De Appel is noch nich riep.
QT000012808	Na ’n Ünnerricht speel ik faken Football.
QT000012809	Kann ik dit eten?
QT000012810	Worüm?
QT000012811	Se weer weg.
QT000012812	Se is nich so as du di vörstellst.
QT000012813	De Bläder farvt sik goldgeel.
QT000012814	Ik denk dor an, na Düütschland togahn üm dor Medizin to studeren.
QT000012815	Sülvs in ’n Winter hebbt wi nich veel Snee.
QT000012816	Ik weer jüst in ’t Bedd gahn, as dat Telefoon klingel.
QT000012817	Ik bün dat nich wennt, so froh optostahn.
QT000012818	He hett dat ut Jux seggt.
QT000012819	Ik weet.
QT000012820	De Katt is in ehr Korv.
QT000012821	Se is mien beste Fründin.
QT000012822	Ik gah elk Dag na Kark.
QT000012823	De eerste Maand von ’t Johr is de Januar.
QT000012824	Ik heff dat hild.
QT000012825	De Tanach is de jöödsche Biebel.
QT000012826	En beten to laat is veel to laat.
QT000012827	Se mutt dunn riek wesen hebben.
QT000012828	Ik bün en beropen Schauspeler.
QT000012829	He geiht af un to geern an ’n Strand.
QT000012830	In ’n Diek is nich veel Water.
QT000012831	Dat is fein Weder vondaag.
QT000012832	He sprook keen Engelsch.
QT000012833	Dat is en leeg Huus, wo de Hehn luder kreiht as de Hahn.
QT000012834	Kaam gau her.
QT000012835	De Jung keek in de Kamer.
QT000012836	Mike un Tom sünd in de sülve Klass.
QT000012837	Ik mag keen Sushi.
QT000012838	He deed hart arbeiden.
QT000012839	He seet op de Bank.
QT000012840	Du schusst nich so luud snacken!
QT000012841	Dat Kunzert fangt glieks an.
QT000012842	„Hest du mien Mobieltje sehn?“ „Dat liggt op ’n Disch.“
QT000012843	Smöök nich bi de Arbeid!
QT000012844	Ik heff disse Nacht good slapen.
QT000012845	Stell di nich so an!
QT000012846	Hest du noog Deken?
QT000012847	Ik kann ahn Feernsehn nich leven.
QT000012848	De Daag warrt bilütten körter.
QT000012849	Ik bün en goden Kock.
QT000012850	Ik heff fröher op’n Dörp wahnt.
QT000012851	En Vagel singt, as em de Snavel wussen is.
QT000012852	Ik bün kamen üm to seggen dat ik weggah.
QT000012853	’Keen is an ’e Reeg?
QT000012854	He reist geern mit ’n Fleger na ’t Butenland.
QT000012855	Ik heff nüms, de mi helpt.
QT000012856	Dat is keen Speeltüüg!
QT000012857	Ik heff de Fraag korrekt antert.
QT000012858	Pablo un Maria weren hier.
QT000012859	Mi dücht, dat dree Johr lang sünd.
QT000012860	Hett dat gistern rägent?
QT000012861	Kann ik dien Bleesticken bruken?
QT000012862	Ik heff Eibhlín in ’e Bökeree sehn, nich Sorcha.
QT000012863	Dat Probleem is, dat ik nich mehr weet, woneem ik mien Auto parkt heff.
QT000012864	Kennst du dat würklich nich?
QT000012865	Wat köst dat?
QT000012866	De Katt slöppt op ’t Sofa.
QT000012867	En Perserkatt slööp ünner ’n Disch.
QT000012868	Frankriek grenzt an Spanien.
QT000012869	Deit mi leed, ik laat keen Lüüd rin, de ik nich kenn.
QT000012870	He wüss nich, wat he seggen schull.
QT000012871	Warrt seggt, de Swaven sünd de Schotten von Düütschland.
QT000012872	Güstern hebbt wi de Wand wittjert.
QT000012873	Tom will nich mit di snacken.
QT000012874	Se sütt ut as en Schoolmeestersch.
QT000012875	De Nacht is noch jung.
QT000012876	Kannst du mi seggen, wo du över simmeleerst?
QT000012877	Ik höör en lütt Deern wenen.
QT000012878	Kannst du mi wiesen, wat du güstern köfft hest?
QT000012879	En Reis na ’n Maand in en Ruumschipp is keen Droom mehr.
QT000012880	Dit Ruumschipp warrt von en Ionenmotoor andreven.
QT000012881	Dat Taxi hett twee Fohrgäst afhaalt.
QT000012882	De Vereen is 1990 grünnt worrn.
QT000012883	Is dusend Yen noog?
QT000012884	Se bruukt nich optostahn.
QT000012885	Ai hett sik to mi sett.
QT000012886	Disse Schoh passt mi good.
QT000012887	Ehr Ogen sünd blau.
QT000012888	Ik weet nich, wat dat stimmt.
QT000012889	Ik heff Lust, vonavend eten to gahn.
QT000012890	Worüm driggst du keen Kuntaktlinsen?
QT000012891	Tom keek to Ria.
QT000012892	Hest du Lust, in en Film mittospelen?
QT000012893	Foder den Vagel!
QT000012894	Un merrn in ’e Wööst is uns dat Water utgahn.
QT000012895	Ik heff Koppwehdaag.
QT000012896	’Keen leest?
QT000012897	De Lehrer hett uns veel Huusopgaven opgeven.
QT000012898	Anter.
QT000012899	He is in sien Kamer un speelt.
QT000012900	De Christen glöövt an Jesus Christus.
QT000012901	Tom deit an meist allens, wat he itt, Solt.
QT000012902	Ik heff keen Ünnerbüx an.
QT000012903	Man driest to.
QT000012904	He is noch to jung, üm na School to gahn.
QT000012905	Ik frei mi, dat du kamen wullt.
QT000012906	Hier sünd wi!
QT000012907	Ik weet noch nich, wat ik na Japan flegen schall oder nich.
QT000012908	He seet blangen mi.
QT000012909	Dor weer meist nüms in ’n Ruum.
QT000012910	Se hett em schreen höört.
QT000012911	Se kunn ehr Verspreken nich hollen.
QT000012912	Du weerst güstern to laat.
QT000012913	Gewuënhait häf graute Kraft.
QT000012914	Kaam hier nie wedder her!
QT000012915	Bring em na binnen.
QT000012916	Se söcht ehrn Autoslötel.
QT000012917	Helen maakt sik grote Sorgen üm ehr Dochter.
QT000012918	Hest du mi söcht?
QT000012919	Tschüss!
QT000012920	Ria is öller as ik.
QT000012921	Ik vertell di morgen den Rest.
QT000012922	Bring mi mien Brill.
QT000012923	Ik kann Tom nich utstahn, man ik heff em ok giern.
QT000012924	Ik heff hüüt mit Tom kört.
QT000012925	Se is wiss jüstso smuck as ehr Süster.
QT000012926	As ik vonmorgen opkamen bün, harr ik Koppwehdaag.
QT000012927	Ik lööv, mien Gagel is sehr.
QT000012928	Ik fraag mi, wat dat richtig weer, wat ik schreven heff.
QT000012929	He verdeent twintig Dollar an ’n Dag.
QT000012930	Tom is in ’t Huus.
QT000012931	Mi egaal, wat för welk du utsöchst.
QT000012932	Wüllt ji, dat ik de Wohrheid segg?
QT000012933	Woveel Bröder hest du?
QT000012934	He is riek un ut goden Huus.
QT000012935	Versöökt wi dat!
QT000012936	Du musst ut dien Fehlers lehren.
QT000012937	Ik wies di mien neet Auto.
QT000012938	Wullt du lever en Sitt an ’t Finster oder an ’n Gang hebben?
QT000012939	Ik glööv, ik heff verstahn.
QT000012940	Welk Lüüd leevt von jemehr Söhns.
QT000012941	Mary hett ehr Moder bi ’t Kaken hulpen.
QT000012942	Dat hett twee Stünnen duurt, dit Book to lesen.
QT000012943	Uns is merrn in ’e Wööst dat Benzin utgahn.
QT000012944	Ik weet nich, of ik di leef heff.
QT000012945	Wi föhrt mit ’n Bus na School.
QT000012946	De Krankheid hett bats anfungen.
QT000012947	Judy danst temlich good.
QT000012948	De Weid hett en Grött von teihn Morgen.
QT000012949	Nehm de Appelsienen ut ’n Köhlschapp.
QT000012950	Ria arbeidt nich mihr soveel as freuher.
QT000012951	Güstern heff ik jem hulpen.
QT000012952	Se hebbt sik vörigen Harvst freet.
QT000012953	Holl de Snuut!
QT000012954	Dat Ies smült.
QT000012955	Woneem doot se dat?
QT000012956	Woneem is sien Famielje?
QT000012957	Dat Schipp hett sien Kurs ännert.
QT000012958	De Vagels fleegt hoog an ’n Heven.
QT000012959	Sünd dor noog Stöhl för all?
QT000012960	Se weet all ganz genau, dat he dat daan hett.
QT000012961	Ik kann dat op Engelsch singen.
QT000012962	Wat verwacht he?
QT000012963	Mien Katt is güstern doodbleven.
QT000012964	Dat to löven fallt mi swoor.
QT000012965	In twee Weken föhrt wi Skilopen in ’e Bargen.
QT000012966	Blangen mien Huus is en Hooghuus boot worrn.
QT000012967	Mari arbeidt för en grote Firma.
QT000012968	He is över veertig.
QT000012969	He stünn op ’n Schamel, as en Stalen breken deed, dat he sik den Dööts an ’n Etelschapp anslöög.
QT000012970	Ji sünd lüttje Jungs.
QT000012971	Miene Kinner sünd in ’e School.
QT000012972	Verpimpel dien Kind nich.
QT000012973	En Demant is för de Ewigkeid.
QT000012974	Hett sik rutstellt, dat he en Spijoon is.
QT000012975	Dat Book is lütt.
QT000012976	Elk Tied, wenn ik dit Foto ankiek, besinn ik mi op de blieden Daag op ’n Lannen.
QT000012977	Mien Opa is in de sülve Kamer doodbleven, in de he boren worrn is.
QT000012978	Dat Kind deed sik över dat Geschenk frein.
QT000012979	En Dummbüdel kann mehr Fragen stellen as teihn Kloke antern köönt.
QT000012980	Ik ween elk Kehr, wenn ik dit Leed höör.
QT000012981	Bliev nich to lang in ’e Sünn.
QT000012982	He hett op mien Breev nich antert.
QT000012983	Ik kann blot en beten Ainu.
QT000012984	Hest du al en Boort?
QT000012985	Passt di dat?
QT000012986	Ik drück jo de Dumen.
QT000012987	Ik heff twee Böker utlehnt.
QT000012988	Worüm eet ji keen Grööntüüg?
QT000012989	Ik heff bloot dree Dollar utgeven.
QT000012990	Opmaal deed de Prinz marken, dat sien Lievwacht nich mehr an sien Sied weer.
QT000012991	Segg Ria, dat ik ehr leef heff!
QT000012992	Mama, worüm heff ik keen Unkel mit en Boord?
QT000012993	Ik frei mi, di to drepen.
QT000012994	Freet nich as so ’n Swien!
QT000012995	Dat duur en poor Weken, bet dat Tom sik an sien neet Kontoor wennt harr.
QT000012996	Denn man tau!
QT000012997	Ik heff twee engelsche Böker.
QT000012998	Ik höör wat.
QT000012999	Ik wull ik weer noch wedder jung.
QT000013000	De Tee is so heet, dat ik den nich drinken kann.
QT000013001	Is dor en Jöögdharbarg hier in de Ümgegend?
QT000013002	Laat em snacken!
QT000013003	Se steiht nich to, dat se Unrecht hett.
QT000013004	Ik harr dat glieke Problem as du.
QT000013005	He is na Grootbritannien gahn.
QT000013006	Mari weer in Ungarn.
QT000013007	Neptun is de achte Planeet von dat Sünnsysteem.
QT000013008	Dor weer nüms dor.
QT000013009	De Deern weer bang vör Hunnen.
QT000013010	Ik finn, wi schullen Tom seggen, dat wi dat nich mehr mookt.
QT000013011	Ik heff mi ’n ganzen Dag in’n Woold versteken.
QT000013012	Ik glööv di.
QT000013013	Se harr bi de Arbeid en Unfall.
QT000013014	Krempel dien Mauen hoog un pack an.
QT000013015	Se is en Fründin von mi.
QT000013016	He deed allens op een Koort setten.
QT000013017	Du kannst nich verleren.
QT000013018	Ik bün Muslim.
QT000013019	Ik wull bloot sehn, wat du dat weetst.
QT000013020	Se hett em vonmorgen drapen.
QT000013021	De Froo snackt Spaansch.
QT000013022	Deit mi Leed, ik möt mol ut de Büx.
QT000013023	De Goorn is vör ’t Huus.
QT000013024	Se hett mi wat to eten geven.
QT000013025	He is krank as en Hohn, mag eten aver nix doon.
QT000013026	Du harrst denn doch recht.
QT000013027	In ’n woveelten Maand büst du swanger?
QT000013028	De Klocken von de Kark lüüdt.
QT000013029	Ben is nich so jung as he utsütt.
QT000013030	Ik snack dien Spraak.
QT000013031	Disse Barg is 3000 Meter hoog.
QT000013032	Miene Kamera is waterdicht.
QT000013033	Wat bedüüdt dat?
QT000013034	Ik heff en groten Pint!
QT000013035	Ik heff kene Lust, dissen Satz to översetten.
QT000013036	In ’e Stad gifft dat veel Turisten.
QT000013037	Vondaag is dat temlich hitt.
QT000013038	Ik heff ehr bi de Arbeid hulpen.
QT000013039	Büst du för oder gegen dat Projekt?
QT000013040	Ik heff mi de Karsbeerblössen ankeken.
QT000013041	Mi dücht, dat warrt regen.
