nds-5fa2456c62e6b6ebe84a0f4963acad5b	Laat uns wat versöken!
nds-07b7fce70be21893fabdbcb3c48d5b65	Ik denk, dorvon bün ik.
nds-78c024bf5f7f747cb65bf9b6543ec9f3	En Tiger is grötter un stärker as en Katt.
nds-16f9542b0c29aa555f176be1d07cad43	Wannehr kaamt wi an?
nds-8f27fa840a1d03ac5f1336c50d475255	Ik heff em nie singen höört.
nds-5c8166305772263c7420d3bbe63a767a	Een is nienich to oold to Lehren.
nds-ac73e6dc29df916c3eb0e4f376ea7aae	Ik heff ehr noch nie vörher sehn.
nds-fc5be6e4362b29311a8089e5017716a5	Mayuko ehr Droom is wohr worrn.
nds-9e83121d4dbe5c0c841217d2032d5da6	Dat is mien Droom, en Nobelpries to winnen.
nds-8377e038545dc180f4ea4d4929e6aebf	Se is en Flasskopp.
nds-171c32e045cedd53a8386fd2f788507d	De Koken smeckt sööt.
nds-f6661cd6f53e9d2a19ab92f3f7c1b817	De Appel smeckt sööt.
nds-74bffe83e793bb622438c788c281a66c	Disse Appel smeckt suur.
nds-7f49ba2f71fb5eef70ee9b5ce81679b2	’Keen hett den Appel stahlen?
nds-c963f9d9ac33578679328693f7cfd7a8	Wo faken foderst du de Fisch?
nds-23023e5308a775f33582994f829f4a6f	Is dor en Katt ünner ’n Disch?
nds-2d8b5175cb32e72f84f68e6e58218f40	Ööl un Water mengt sik nich.
nds-09ec512baf73f401cd13c85568ab3c38	Ik kann bloot töven.
nds-239d39350ece179a38acd283353554b4	Jessie kaakt Water üm Kaffe to maken.
nds-9630b7c45b426c8e18c8c179b8d05aee	Wullt du noch en Tass Kaffe drinken?
nds-ff1f599aa1fd9ee2c06d54a1aa24fa80	Is dat dien Kamer?
nds-4f5b45dc28863070e4747bc864315b28	Enkelt- oder Dubbeltkamer?
nds-5873b4eab91773e2e2bb64a50092bb63	Ik heff an ’t Telefoon Pizza bestellt.
nds-aa8f85a86d66c43bfd9eb7fc511d99fe	Ik ben all kloor.
nds-85aca905e3b0422cded97779aae24670	Dat Fröhstück is trech.
nds-7c24d6d04824b0a9e00d67414ecd7be1	Büst du praat?
nds-7e0ea86bda20d297c148d80adbc2a96d	Versöökt wi dat noch wedder.
nds-fa2fab84b755d0793f4b6b07c5fdc482	Versöök dat noch eens wedder.
nds-cd54cdf1d7144ab9ccf866155054aae1	Glöövst du an Spökels?
nds-66774dfe6df40efa940aaaff2ad694c8	Ik lööv, dat he ehrlich is.
nds-f46d0ffcf9e8e726bb53aad6d45d2bc7	Mi geiht dat good.
nds-d048377557a24dafe2d1c627db6b22cc	He snackt good Engelsch.
nds-61f42c41a5795c227de3d73db2dadd50	Kann ik en Glas Water hebben?
nds-368ab76226815bc076d5ba4714e167bf	Nich all Vagels köönt flegen.
nds-67959786ef8fb4c19f4790e6f64c5527	Welk Fisch fleegt.
nds-0f6d15a99c0d5f4ecf3a172d5fd424d6	Se kunn keen Fleeg wat andoon.
nds-0fbf533094e45759d6ecd0a557687ac6	Immen fleegt von Bloom to Bloom.
nds-e005996e1676dd1a0d7a2185dd24c2bb	Dat is mien Broder.
nds-0af72a51ff28760259a82936b35707f7	He is mien Broder.
nds-e5cea1d0120a64c791ec0d153d67fa7a	Ik heff en öllern Broder.
nds-bd1c7c596e3305abce0100e36c45c06a	Mien Broder mag Horrorfilms.
nds-c87d6f9ca2b9381c2114bf987caae880	Wi sünd Broder un Süster.
nds-a183cfc08a2035c76e5f729b6ca84429	Mien Broder speelt Gitarr.
nds-76586fefd84352f13e618d067eb9d414	Mien Broder is Inschenör.
nds-0a28def4a4e4b64fa6ddc2d9f11e35b7	Shinko sien Broder is acht.
nds-f9acbc383bf3e58833271eaf2275f6bd	He is Taro sien Broder.
nds-fa315f5ba50c114df0e416760b58a15c	Bill güng mit sien Broder in ’n Zoo.
nds-9ae5a1dfe47f11a9ffb98597a729ae8e	John is so oold as mien Broder.
nds-dc6a29dac2f6cfa7097a1ce306f135f6	Dit Fohrrad höört mien Broder to.
nds-255330443e9c99e619fe737ace896547	George hett miene Süster heiraadt.
nds-0fe089f470e64ea7f5d224739f990f9a	Miene Süster mag Snökerkraam.
nds-72bef9b06550a2b0597127c1832be14b	Sien Süster sütt jung ut.
nds-be91e3c69a44ce6447fd00329ca57df2	Ik mag helle Klören.
nds-7417a70273fa32b062e1fb1ec72056da	Dat is buten düüster.
nds-f25f6e7fca386a5e0530361e94c5d2fb	Ik mag ehr düüster Ogen.
nds-2e59aaa7329940dca97b3a49e75166b8	Dat weer düüster ünner de Brügg.
nds-940b1de761f242335d134ec85e0050a5	Katten köönt in ’n Düüstern sehn.
nds-098a0e887008453e5881df2f16abe5f1	Ik kann ahn Brill lesen.
nds-71cc372e3e73d6bea21af2f6a909a22d	Ik kann nich ahn Brill lesen.
nds-45a47c3309a95f53c4c8c1a1b815d302	Ik kann mien Brill nich finnen.
nds-03da58f72659ed026d8e5701595d63dd	He driggt en Brill.
nds-f38b5ab1bf31e6da181b1e2de67b77db	Se dreeg en Brill.
nds-776865712574a9ad92773bf524209206	Wao is mien Bril?
nds-46e1ea1659bc91d375fe28281f25ea85	Woneem is mien Brill?
nds-c601ed7318556f51b3a77693c7e97ed3	Tracy hett ehr Brill verloren.
nds-71547a310e746ab027467273d87de189	Ik mutt keen Brill mehr dragen.
nds-d82bfaf0a0d4697caf98f4d96f3763d8	Wat hest du mit mien Brill maakt?
nds-ff3bb338386e40a6d6d450c4277dc7e9	He möök sien Ogen dicht.
nds-63ccd1bc185704fab008a32a5b2736ea	He hett brune Ogen.
nds-641cd904adf2d561ce42c3260d452a13	He weer lieks achter mi.
nds-71e347a21bd9f5a66ca9fec46e09b254	He möök de Döör achter sik dicht.
nds-bb7acdfd7174cbf51c74694f302db85c	De Maand is achter de Wulken.
nds-45cd177de43f1c1d85569dc5b1eec8f9	Ik fang vonavend an.
nds-f22c057e28db84de57cbe2d57a1f2e29	Ik roop di vonavend an.
nds-8a40a8f49ef26d090e745e8454f9d979	Ik heff veel Frünnen.
nds-e9f29caa00c48d2d81ba5135be53742e	Du söchst dien Slötel.
nds-516a6ca914e3172592c8226d5d46f773	Hebbt wi uns al eens drapen?
nds-49d039e12575e53828592fbc83ff9671	Ik söök mien Slötel.
nds-037b6becdc8eda7193e6ce50aa4a9893	He deed den Slötel in ’t Slott steken.
nds-90df3293652ba644e3b591021c5c1879	Söök de Stad op de Koort.
nds-275b71c2c18576c1306fcc24de1b3f63	Du dröffst nich toveel Ies un Spaghetti eten.
nds-00f5da6da2c472cfd15afc6a6411ca0b	Ik schull beter an mien Diploomarbeid arbeiden.
nds-cbeebb3da567d1e9d69e779358fb1e71	Kiek den Satz in dien Wöörbook na.
nds-b7dd40739d3daa945950dacb5198522e	Geev dien Best!
nds-49cdc815cc1276c724e78ae1ccc7043c	Mien Arbeid is trech.
nds-0528c17777f3184373bf17a0024df501	Se hett dat Licht utmaakt.
nds-a6f1776d3491303e2d00cf088b2490e8	Mi frös.
nds-08911f2ccf42bf6c70a43a2d7e745f49	Mi is koold.
nds-bfb25560950deb2a2314d0bd1691ca58	Laat mi dien Temperatur meten.
nds-e35a4e8acdcc43cd3ce2e98d092c0060	Bring mi mien Brill.
nds-4119c98c7726024a1b73c4bc747fb428	Naoko swemmt jüst.
nds-ab8824d9e9f0054d08470565215bccd5	Ik verstah nich, worüm as he nich de Wohrheid seggt hett.
nds-1a979f9c2b0caf6aedb7845f9f74f04d	Dat is ehr Huus.
nds-f1960f5fb1a6310081f469b3feec515b	Mien Huus is groot.
nds-f0e917daa805c16d5279ffdbfe24288a	Mien Huus hett brennt.
nds-cb4a9bd1030c118edab71c9f3183d912	Dat Huus is verköfft worrn.
nds-cb4a9bd1030c118edab71c9f3183d912	Dat Huus is verköfft worrn.
nds-bf44fdc55594e849ad590587c2057f0e	Wannehr kummst du na Huus?
nds-510872d0bb4c298d4ba42035e59db3be	Ik will en Auto köpen.
nds-2461f414523ed7ec4634eb4441fb4dea	Ik kaam ut Singapur.
nds-17ddbe93c20443925e7df2c967c57459	Kannst du Klock negen vörbikamen?
nds-8cef8f906b5f6537b9113a8dc0191808	Dat Weder weer to schöön üm binnen to blieven.
nds-e0ffd6ea4784f30dda36e71fff13ccb3	’Keen is de Jung, de de Rull von Peter Pan speelt?
nds-cfc3c13da0c1fdefeec588e95270c672	De Heven is blau.
nds-0975c610fb539b85693a61aa450a7c61	Dat to löven fallt mi swoor.
nds-0095b5dc2384b07a78a2bbc68f513345	Wat höllst du dor von?
nds-c7ef929d917c224e8e7cc8b257b282e9	Reekners spoort uns veel Tied un Arger.
nds-6201fc23756276d124829c9f01be6f58	As se mien Gesicht seeg, füng se an to wenen.
nds-028a152286a1f77e1807fd785f0a2c8d	Ik vergeet jümmer de Naams von Lüüd.
nds-7bb7a6a85cf29147617ee217bda9af5b	Dit Land is üm un bi twee Maal so groot as Japan.
nds-8d255aa8603a657250e91d72623863ac	En Japaner harr sowat nich seggt.
nds-a09b0cf35ace17bce25c32cbe0b852bc	Ik kunn vergangen Nacht nich slapen.
nds-1c6159b9ae9eb0983366f1bff2f26e7d	Ik kann op dien Fraag nich antern.
nds-2092cca99c184abd55eac7ba63852109	Wi kunnen dat Lüden von de nahe Kark hören.
nds-db371be3a8c27ee8a84ef8291f2b3b96	Disse Klock geiht nich.
nds-d2e6f194aa9bc21819f21d854a556450	Disse Klock is kaputt.
nds-4a3244abc210aeb510d0cbf0ba587802	Fröher hett he smöökt, aver nu hett he ophöört.
nds-5e472aa1ede89ffb2c65224a605b4213	Bill hett mi dit Book mitbröcht.
nds-27ebbcf76f854fa26aae67f6a9ce9524	He is jüst ankamen.
nds-319c2cae3d9e82750abc1a1ece091081	Ik lees geern Böker.
nds-90d614e4656a3283c7f7f5427e403316	Se seet ünner en Boom.
nds-5c0c97b98c602ae44f39b1231efc7223	Se mag Jazz un ik ook.
nds-6db46ecac3a6e4787bdf6f193caaa5ab	Ik harr vergangen Nacht en gresigen Droom.
nds-648f18a32732928013989085a7dc06f2	Fievdusend Dollar sünd en Hümpel Geld.
nds-3e664547af04b6121980f90a89780a03	Un leeg vör allen nich.
nds-dc660870173478186faef6af6daab97f	He is riek noog, twee Autos to köpen.
nds-7ae60f9d071acf27770e99c8d9df6116	Versteihst du, wat ik seggen will?
nds-657d465d7fea8088f9ce435c7785145f	De Murais sünd teihn Johr verheiraadt.
nds-9931b494836528df53bbcae6f6da2d14	Sien Gesicht weer mit Mudd vullkleit.
nds-037d9c3811a2a307adfc254bf5a175ed	Kann ik en poor Fragen stellen?
nds-9b8b2bca296f0a97dbb0ec0dd80857e5	Deit mi leed, dat ik di so lang heff töven laten.
nds-3ad3ce03fff288e97b3ea999b9927ff7	Dat Probleem is, dat dat to düür is.
nds-294fa8ce46b61b90dc026a40b11dad28	De Höhner hebbt Freten söcht.
nds-da71c3a2844cfc3c5ba4d12c1794e0f4	Ik weet nich, wat dit Woord bedüüdt.
nds-4ace1015de7937b2e71e37666d77fbc2	Dat hett en legen Röök.
nds-04fcf1ccf597a6b054afc6dc86010070	Wo wied is dat von ’n Flegerhaven na ’t Hotel?
nds-b8c6c1efe0801e326d33454735be18c2	Se hett nüms to ’n Snacken.
nds-a663814a62b95392b10d90461f8b60be	Se hett den Breev in dusend Stücken reten.
nds-c52609ab552c5e4ab0169ec9d403dc0c	Wi lachen un lachen.
nds-0244dfda6c3f80a5669b7d4598f6ade7	Ik kaam, wenn dat nödig is.
nds-5b7c4541c69065778ffc0f2b93598a7b	De Schoh sünd ut Ledder.
nds-e3b7b443d56e8c2ff922778981b3be15	Miene Süster speelt mit Poppen.
nds-53da1ae33637212eae082e06213fcfeb	Mien Süster is temlich plietsch.
nds-c95a23fc18281d16f669f7709299d22a	He deed achter en groten Steen schulen.
nds-4f40782e57c0ff086cf644356eacc0c5	Disse Jung is plietsch.
nds-bbf6da7de173ef6b98e51f47eced3b8e	Düsse Film is för Vulwassene, nich för Kinner.
nds-bc309afe7eddfcdf8a598842dec19238	Ik heff en Inladen kregen.
nds-3673749a86ebcb3f5b5d38bfa6f3f16a	Ik verstah nich, wo ji von snackt.
nds-7c7822b0c051c8efc6166f6dfaa9bbfa	Ken verdeffendeert jümmer sien Moder, wenn sien Öllern sik striedt.
nds-c2410781870372c37f1c445a6b5c1d34	Ik baad elk Dag.
nds-49c30fa7f60ed68f041b90b83b95f2fb	Ik kunn nich slapen.
nds-2c0dbcff91c83f27675bb04d44c21e0a	Ik heff en groten Broder un en lütte Süster.
nds-d7bb7e78c0b6afce3d978d8f56d8a7a1	Dat hett vör een Stünn ophöört to sneen.
nds-34651168ed63e140f5c375a44ff5722a	Ik schriev en Breev.
nds-68392f2499ed7ca589062898ff0359f3	Een is bloot een Maal jung.
nds-d6a71d848bee7656f3412c396a4bb1a3	Ik kann mi op dat Huus besinnen, in dat ik opwussen bün.
nds-3f8d07592c650fe7d65682b1a666f41f	Ik eet Ries.
nds-68d1bc3e045efd84d1ebb340c44b76b2	He schrifft mi een Maal in ’e Week.
nds-6d595e6169dd7606274b6f96d91a7d39	He is Tennisspeler.
nds-2c107c157639e85bbc2b46d20d7baceb	Sluut dien Ogen dree Minuten lang.
nds-6e2116b6c4d8cf930d6629d2d795a4a8	Wenn ik doodblieven schull, ’keen deed sik denn üm miene Kinner kümmern?
nds-ffc8b54bfa59c4848651869a92fb0227	He hett allens opeten.
nds-466d1cff4c5ff95adefad48e0be67b41	Hest du allens för morgen trech?
nds-ab1681e81d2ce953d42ff732edbca073	Dat kummt licht, dat een slechte Wennsten anwarrt.
nds-446681957582d1ddb1b375991d1ed360	Papa kummt morgen na Huus.
nds-80b0528ecf2f7962b790ebb387d90030	Ik bün stolt op mien School.
nds-f853e4fa34eeaf9abb2a7e1a00d06c41	Ik heff veel to doon.
nds-8539da282462231a47a2b7acf9710789	Ik heff en Computer.
nds-9fef2e2ea064179ad82982e9f068f4eb	Beerbuddels sünd ut Glas.
nds-596d96ecc16808c86ee1c6c50ab28c49	Wat bedüüdt dit Woord?
nds-dc0910ea6744b27444ea7201c8fdac71	He keem in’t Wanken un füll hen.
nds-93220581081556148fada026775def79	Häs du aal Meddag gieden?
nds-daa922471852b62b9a242a032d8543d0	Hest du al Middag äten?
nds-7df903654e70090460dc9fbbac9ce159	Villicht hest du recht.
nds-f5df4e6abc5524965d4c0ead917e1b8c	Kann ik en Naricht dorlaten?
nds-b215e65ac152c5e7786cf396f67c68e7	He glöövt an ’n Wiehnachtsmann.
nds-98a6c5d51d246bb43eae031fa31d8cc6	Dat is Tied, in ’e School to gahn.
nds-3697a411ee5b407d8f4be42df8303b4d	Snackt he Engelsch?
nds-25c34ae87a43bbd33479064c37fab2f9	Ik heff em drapen, as he in Japan weer.
nds-64867b9d40b0885cff8ce21dadc7e644	Dat Vörjohr is mien leevste Johrstied.
nds-1825a4bf0a822e521e65ed9146113c96	Frankriek hett en Grenz mit Italien.
nds-d921d211dd75311447c3bf1994b2328a	He seed, dat sik de Eerd üm de Sünn dreiht.
nds-8044f3fd23e80760b9cd441f2529d92f	He hett Eier un Melk bi en Buur köfft.
nds-6becccca951e3c0df6fa856ddfd8189e	Ik will nich alleen leven.
nds-99e545b55daf217189d8e474cfc375a5	In disse Hall gaht tweedusend Lüüd rin.
nds-eab52d0eda51762c8a77b730ee5c29d4	In dissen Höörsaal passt tweedusend Minschen.
nds-7a5515a176bb724d1aa34ca00770f213	Dat is önnig koold dissen Winter.
nds-098fec410ee11eee385be058373b7645	Kann angahn, dat he de Formel nich kennt hett.
nds-764bdf7c3d05e94fb33852138ae2c315	Wi hebbt twee Kassbeerbööm in uns Goorn.
nds-6684c8a8bf7a0f5bb1249337720870d1	Ik kann dat nich mehr uthollen.
nds-f2ef5a4af9824c26a025e9b20c11c4da	Lichter seggt as daan.
nds-9e61b4db13a02c4308ff7ef7e9132e66	Ik heff keen Tied, em to schrieven.
nds-aafd7cc29face12fe3b8e0a40c74e4d0	Deit dat weh?
nds-85a1be6862faed7ab2fc9d00b2342b5d	Ik weet, dat du plietsch büst.
nds-5214ffef9e4d7a4eb54375bc2e49f472	Ik heff en Auto von en Fründ utlehnt.
nds-7e5fa3bb05a3c6dfac86dcd77ed3dceb	Ik deed geern en Auto hüren.
nds-20f7790327b4ccf030e9c469ae431ba6	Wannehr kann ik di besöken?
nds-7a328aecc884ccb6231209ce0ffdf043	Bill is nich so groot as Bob.
nds-484bf842f373ef5a036a05d6a6938bea	Disse Länner hebbt to Frankriek höört.
nds-aa77215b175c994056123c8b72de6ac6	He hett dree Bröder.
nds-a3a351141dc98b833e6349a416bd20ea	Disse Hanschen höllen ehr Hannen warm.
nds-6817b605a9f65a1a672cef891e70960f	Güstern harr ik Kusenkellen.
nds-559e0903c0f23af9b6e83f4b420c3310	Is dat schier Gold?
nds-0f35c1fa156b5b9f9dcb7f81a76b9a53	Ik bün lever arm as riek.
nds-1daeb22227db56bb6d294e706fda3588	De Rhien is de Grenz, de Frankriek un Düütschland vonenanner scheedt.
nds-4a04ded9e5fdc7466e24060415a79f20	Wo lang kennst du Jack?
nds-bb60213a9a15660c79200ecfbd7e281b	Ik bün gornich mööd.
nds-d92261ad15e0a953bfe72adda9616184	Sodraag se trügg is, roop ik jo an.
nds-11ac8d54e6eacdf6a88013395c53efd9	He wüss nich, wat he seggen schull.
nds-4c11164e2b4e47a1f9b2ee764ee24621	Se hett mi dat Swemmen bibröcht.
nds-e5b69cf770b6bc3f1e5dea841aab23ab	Ik baad jümmer, ehrdat ik slapen gah.
nds-5d119ee072fe400a977789806d5b9d40	Du schusst mit dat Smöken un Supen ophollen.
nds-ac49bff5b18d410753aeed9c981187ed	Frankriek liggt in Westeuropa.
nds-625129ea8202db29249341cb02ff55ec	George is temlich spreeksch.
nds-86cf727c62e649ffc77c658b530cfae4	Ik schüddköpp.
nds-e9b60d844733915908b6ac27714a0252	Mien Kamer is dubbelt so groot as sien.
nds-f9bcb325279aa865795c1d14f0ac4d8a	Ik heff ehr tofällig drapen.
nds-0ea0ed5e1f71bd744edb7823fe82c9cf	Dit Book is dat Lesen weerd.
nds-1b25573dbb218dc7c9d411f170b1b4b5	He is nich mien Vedder.
nds-037a6faca9f1020b83d625c26a1a405b	Ik geet de Blomen in ’n Goorn jeden Dag.
nds-8a8d885f56f4aeb78dbb2f3b687d2345	Ik harr kuum de Döör dichtmaakt, as een ankloppen deed.
nds-a6dce5f45e74374b434f1b5a3626765a	Glöövst du an Godd?
nds-579102f9381ef9534c59b3eab3ca1794	En Kroog is en Oort, an den Lüüd tohoopkaamt, üm Beer to drinken.
nds-673395acc9782f879733d4b5a0dd2119	He verdeent twintig Dollar an ’n Dag.
nds-d0b3d7a8d69d31d1c00183c818645932	Se is nix för em.
nds-7276a3e5dff46619616c731f16412206	Ik deed dor nich ganz alleen hengahn.
nds-f082da3dc0d5db65456c88a78ad01507	Ik hööp, dat dat joon Broder beter geiht.
nds-a7e824a064e711c047d7d4f4af38a0b8	De Kars güng von sülvs ut.
nds-d7e79caa2fd2fec75588a3446091a2ad	He hett mi üm Hülp beden.
nds-f262ec84e38a0eeca4dc972494c26b02	Nu mot ik gaon.
nds-7b6af4eeb46b2f0b42c2f24525759833	En goden Börger richt sik na dat Gesett.
nds-ff9039dade38a97caf6a441d4cedc91a	Snied de Meloon in söss liek grote Delen.
nds-01bb8aecfb10f2520f467581e516a01e	Mayuko kann Fohrrad föhren.
nds-d2b19329ee0c187afa9e9800d9017e12	He is Vader von dree Kinner.
nds-3ac75e2036e404e29181e7e002c9ac44	Snack nich mit vullen Mund.
nds-4ec583077a20c98bf716479dec761962	Ik heff vondaag nix to doon.
nds-3c8f5d4d1508c6cc45fc68e1c5b998c7	Ik weet, woneem du wahnst.
nds-9c26d20d88fb65775ed6cdfc01b28c96	All Dörper weren schöön.
nds-4e842c828f6af9e388d2facfd4f9dff8	Ik weet, dat du riek büst.
nds-f99e5fdbc20b8d2876ab79f81e5fc266	Ik kaam ut Japan.
nds-bb2c1835c9857977e80c632d502f4365	Dat is to düür.
nds-54c8c2ce2750381ada6d1d6b158ecc0c	Dat Eten weer gresig, liekers heff ik dor nich över rümmuult.
nds-3d6d41f27ff007bef02d1a519067221c	Ik will ehr freen.
nds-a149562b522092e180f201a0da9798ec	Ik heff daan, wat ik kunn.
nds-eda85f595c9807828add4fe89384d256	Se is to jung, üm na School to gahn.
nds-4ea7a725bbf6a8ab278e9159196e8b1a	Sien Söhn is ut de School smeten worrn.
nds-465b1a2fcf849c52251f54a0a4603fe6	Worüm dröögst du di de Hoor?
nds-d37b6c3012dc50e2a09eadae0f9c68d5	Ik bruuk en Breevmark.
nds-ab2e062656f34f6c69e4a09e5d450460	En Gavel is von ’n Disch fullen.
nds-e4f71c898ff9f27cb7a8ff2963663566	Ik heff en Fehler maakt.
nds-7e1257fb407061103f47eb4c9167ad0d	He deed mien Freid delen.
nds-7e7e304a61db8b558831e111b02935ad	Ik bün trurig.
nds-30a80efd9626ba5097715d7c2b854ad0	Ik will ehr morgen besöken.
nds-c7fa66fa0ad9aaecd7e006b76db25b5c	He harr föfftig Dollar.
nds-89dd7a72a760de85c94ffa6927646a75	Kann ik mi hier hensetten?
nds-d7889a6810815368df12e3cd0280cc1d	De Gardien füng Füür.
nds-27472cb888bf58c017c86784b6a63d63	Wo groot is he?
nds-23174e8c5009d1ac6c371af1a87689ee	Hest du morgen Tied?
nds-775292cb4b66829d0b569747e2888c17	En wunner kann ehr nu man noch redden.
nds-732f1dba5f29c667a87082029695f6a3	Wi hebbt noch veel Tied.
nds-b2c86538078d95ccac5d29b749af5e9c	De Swiez liggt twischen Frankriek, Italien, Öösterriek un Düütschland.
nds-62c06b231587284a785b47a519aad492	Ik bün bi ’t Feernsehn toslapen.
nds-94b29dfe7d51f466543dfc9c04c4e130	Höllst du mi för en Dummbüdel?
nds-90b1589c0b3df8b3bf19bf401d256ce9	Man to! Wi hebbt nich veel Tied.
nds-9fd8d234ba1cf88a8df3ebe955da9aa8	Speelst du Football oder Rugby?
nds-bd21458b88a59a2f77222053860a258e	He is güstern in Tokyo ankamen.
nds-bdf269f0b26336c2cda32aa4449bd61f	In ’e Midd von ’n Park is en Diek.
nds-b55c7803a18f4051adf33a98a2f12dee	Se snackt alltied Engelsch.
nds-99a70f7721f0fe70d3d65795ae730400	Se hebbt ehr to de Fier inlaadt.
nds-f803b4cb37d4159dab7cd724af35dfcf	Ik heff en grote Familie.
nds-5ec330a6a9f0f0cbedcc915fed0b680d	Mudder hett dat Middageten för uns trechmaakt.
nds-fff50ceed08c7be67485290eae249945	All harrn dat swoor.
nds-a9d073e549b5adfe728a420be2b1cbcf	Uns Ünnerricht fangt Viddel na söven an.
nds-0ca865d4e857664398a169c0693a2da1	Loos!
nds-d2358a8c7f7f1718aad2ecc6b3800e98	Ik kann nich begriepen, worüm as he dat daan hett.
nds-efcf492997cc808d9da4ad008ebd5172	Dat schall nu en lütt beten weh doon.
nds-9622c19f2bf2245dffe7bcabde4613dd	Nüms snackt disse Spraak mehr.
nds-9858875773c063d0ca78d9d489a12454	He kunn nich kamen, ümdat he krank was.
nds-34568e770d5fe50512cb197039d72108	Dat gifft noch veel to doon.
nds-70cabf65c2fa3262f1db2867b37dd544	De Kinner warrt so gau groot.
nds-dd634be17ef9f61143fbc715df248282	En Klock hängt an ’e Wand.
nds-9c3d5d6782ec906a3a5673e3978a7b7e	Ik will över de Wulken flegen.
nds-38a0d4577883abd503117d17a4073adb	Woans hest du ehr kennenlehrt?
nds-4dcee1633af63ff66d95f11741d45945	Nüms wüss, woneem se weer.
nds-795aacbac6b9e16c5f99b1797e0c2a8c	He geiht na Universität.
nds-aff3fce1b65f1f3f782167c6fba86478	Jo, dat is Anthony.
nds-bb4b3a450cf461bd03dc83398978e295	Wannehr kummt de Fleger in Tokyo an?
nds-f78894bca8c5e9b476810868100ce5e1	He is nich so groot.
nds-3ef47daf5126b491fc306fedb789ab57	Sien Huus steiht to ’n Verkoop.
nds-41454f01614c6d88e3f25b7608362ec8	He is vör een Stünn gahn.
nds-a76a7818707000d55e7a7498d533864b	He deed ehr vörhollen, dat se em anlagen harr.
nds-77962efa19efcac4dae56d0fbb1c1d1b	Kannst du mi helpen?
nds-2aab5569bcb0369bc64f53c7b5cab597	Wo löppt he nu?
nds-87ad4505913c0dd9bb79f2c2ed403c08	Disse Bank maakt Klock 9 morgens apen un Klock 3 namiddags dicht.
nds-eb6127846010e116018cd2cc359e80b0	Se hett dree Bröder.
nds-a82308937ff2bbb90b1955103067984c	Ik bün in twee Stünnen trügg.
nds-a6ff7105335d1bc641b2f63d9333c041	Maak Kaffe.
nds-78a9a12e275684cee83d31734072f980	Ik heff em vör de Gefohr wohrschaut.
nds-415f73c7430f5df31a60c9a0e086438a	Dat is dat Huus, in dat ik boren bün.
nds-eabc10fadffa3eb9a2ea079455d1fdff	He weet nich wat dat is, arm to wesen.
nds-1e53c65e2bc2c3a8794c9fbe5e627d9a	Woneem is de Ingang von dat Museum?
nds-67009bbeca75cde51c5c78c3ddad1341	Hett de Film al anfungen?
nds-4ea3ee2d192a888711762325b6d1064e	Kann ik nu mit Eten anfangen?
nds-c9792303ed4dc73cc4e108d6e9265dfc	Se weer mit dat ne’e Kleed tofreden.
nds-959bcc9c70e0f6ab0f63acfd7fa01612	He is Schoolmeester.
nds-0017a5b589cd88016a3148808c15e1de	Dat Speel is wegen Regen afseggt worrn.
nds-e5e2bdfc83358e4c8afe9797b6b47cc3	Se hett ehr Kinner verlaten.
nds-25f43dda9b80d91d9df68ace90d1a054	As Kind hett Bob in Boston wahnt.
nds-72ba1c2e70097dafb53062c40a3724a5	Ik harr geern wat to drinken.
nds-c86cd8fd8cfb65a3032045f1754cb0ca	Dat Fleesch is good braden.
nds-eb6ecf023f9b42eb07622b6ca1b201b8	Woneem is dien Vader?
nds-3a885f4795d612b2c781f3cc4d503fa4	Mien Vader hett mit Smöken ophöört.
nds-61c8ded7075532b0d8c94d34bdd67c2d	Wi kennst uns von uns Kinnertied af an.
nds-b8224f4c1ce4f0d1f1fe63e6771a1f4f	Paula mutt ehren Vader in ’e Köök helpen.
nds-83de1b87616455630cd893f1cbf64616	Nehm twee oder dree Daag free.
nds-9083a1f42f58aa8f73713ef8745eff5d	Ik heff keen Geld.
nds-9d4248cea692e431a90a484f5ee0c365	De Mannslüüd sünd op Jacht na Löwen gahn.
nds-c97cc48838bf3f27bb97c695e74b25ce	Ik lööv, dat se krank is.
nds-f4646d4c11a9ebf7650316a9de6cf320	Wo schöön de Sünnopgang is!
nds-6b500e1373dcdf2582153fd93e110713	Dat Bild sütt von wieden beter ut.
nds-6473a654c596787200d7e82327c5e792	Ik heff güstern mien Lohn kregen.
nds-3e52f78bf51d639bdebc6f5e6d9ebabc	Ik roop di later an.
nds-1a763c56737929e2c4dffb4020d242c2	Ik heff en Hund.
nds-436a3103bc9064a8f620722f5b3d6e79	He is bang vör Hunnen.
nds-4debe29d78c76ec27fe088c1e45d4b73	Maak dat, wenn du Tied hest.
nds-48194d114485eabd20a2482b0dc659a7	Dat weer swoor, dat Radels to lösen.
nds-2a5446d62d88dd01c3e02544da9342ca	Dat hett nich lang duurt, dat Radels to lösen.
nds-9218d28485678f418567d68f22631126	De Bus is teihn Minuten to laat ankamen.
nds-7bf465fa447936873861f578d74a17cb	De Bus keem teihn Minuten to laat an.
nds-6907a112bb80f7f3176a9b3b2b569173	De Bus weer vull.
nds-06393631f759b6865b86795f8692214c	De Ammel weer vull mit Water.
nds-f8cd9f20eaefae1b67de9cf60f19c91a	Ehr Hoor is lang.
nds-9dc19786bf42bb780967088d78ccf80e	Man sien Frünn nöömt em Ken.
nds-939ee4d51a441a629d4a6dd6e9096f93	Hebbt ji dat Finster apen laten?
